window_start,entropy_nose,entropy_left_wrist,entropy_right_wrist,entropy_shoulders,postural_stability,velocity_nose,velocity_left_wrist,velocity_right_wrist,gaze_proxy,symmetry,state
0.0,0.006924339374622318,0.026403872398284466,0.03389298327412768,0.0012024057474819207,0.0008946797713777323,0.02235398305084746,0.03902140677966103,0.03510671186440678,0.02235398305084746,0.007257485126474581,N
5.0,0.007384255498752258,0.030186733667129383,0.03823079250958417,0.0010675720523175142,0.001086887828867051,0.022220762711864413,0.039152135593220345,0.034998101694915254,0.022220762711864413,0.008810390096642655,N
10.0,0.008004913878413277,0.024842764088100565,0.036203697558467515,0.0011806252604598872,0.0010338610366174511,0.023755949152542383,0.03763033898305085,0.0361538813559322,0.023755949152542383,0.008120675686891527,N
15.0,0.006359662384125423,0.022944805141075136,0.03051781982690593,0.0010292638389353104,0.0008288629850829978,0.020739271186440686,0.03255710169491525,0.03523635593220339,0.020739271186440686,0.006684555284271185,N
20.0,0.006074709501083617,0.024220062625778256,0.03179690618362343,0.001038478606308192,0.0009051254101711914,0.016513881355932212,0.026604152542372875,0.031436322033898303,0.016513881355932212,0.006537333617283901,N
25.0,0.0078061433207022605,0.017654896869016667,0.03212659250015791,0.0011869077574231638,0.0009094328472988292,0.01888649152542374,0.03447098305084745,0.03114006779661017,0.01888649152542374,0.0045418203240452,N
30.0,0.012899050563849435,0.025763195216268353,0.041290757209128524,0.0030017637968742937,0.001974474734459917,0.019902000000000003,0.04817001694915254,0.02983584745762712,0.019902000000000003,0.007921149027593222,N
35.0,0.013709638214083613,0.02304826374031497,0.03952263825659152,0.003457521750055084,0.0020370589790785123,0.01788677966101696,0.045389559322033896,0.03027262711864407,0.01788677966101696,0.006397456269715255,N
40.0,0.011752063462847177,0.022916023858947743,0.037556063442770043,0.0033232885458031065,0.0021430163017823055,0.01587713559322034,0.04327196610169492,0.038058576271186445,0.01587713559322034,0.004969558028555084,N
45.0,0.009456428103860735,0.021724586994360175,0.05433765019537149,0.0027543990824550864,0.001961548589088988,0.020271372881355935,0.044191355932203386,0.03950296610169492,0.020271372881355935,0.0028641563118884166,N
50.0,0.013788625936999713,0.02136413726837684,0.062466468365754535,0.0030885779205570615,0.0017618679407551473,0.02076062711864407,0.045917457627118644,0.03923125423728814,0.02076062711864407,0.003768722017132203,N
55.0,0.015949938224709043,0.01680884687510593,0.07449000921395481,0.0033272803061209053,0.001592021835373962,0.015949186440677967,0.031057033898305077,0.034280644067796615,0.015949186440677967,0.0036623384144562144,N
60.0,0.01136969599790904,0.00844524332427966,0.07079604238448108,0.0017457494232505657,0.0007412856472383655,0.020280254237288135,0.0285439661016949,0.032344372881355936,0.020280254237288135,0.0006498207555231624,N
65.0,0.008263674908837008,0.0070787000817073426,0.0678185206239435,0.0008031335304265537,0.0004670975158830264,0.016369745762711867,0.025595593220338976,0.02942566101694916,0.016369745762711867,7.183570238417916e-05,N
70.0,0.007906442101319211,0.004966224410416668,0.06319924992691947,0.0008349308513251409,0.0004811216279002455,0.015141745762711866,0.023675016949152538,0.020725101694915253,0.015141745762711866,0.00022670165095565022,N
75.0,0.0031680378508762725,0.0037317157711387002,0.009020147071527401,0.00018737453203389844,0.00017371038487751648,0.011062457627118645,0.020856305084745758,0.014996000000000006,0.011062457627118645,0.001202049261299152,N
80.0,0.0027369063745680787,0.0037942656995841803,0.0079515475959452,0.00016505156266977415,0.00016704860884124027,0.010703864406779657,0.021372661016949148,0.01488298305084746,0.010703864406779657,0.0013119212222398294,N
85.0,0.004418948360648306,0.004343607426606496,0.01976524058711356,0.0002236156194166667,0.00015144786087374493,0.017320932203389827,0.02647842372881356,0.0201161186440678,0.017320932203389827,0.0010614024970635578,N
90.0,0.0028408247166774,0.0019021426660799428,0.014638935157994349,0.0001357292189861581,0.00011526191179599119,0.01041825423728813,0.019064355932203386,0.0178965593220339,0.01041825423728813,0.0005214309023220349,N
95.0,0.002767320341934181,0.0019032777687903952,0.014097417346424291,0.00013564529095790956,0.00010194716573773664,0.011082101694915249,0.018583983050847453,0.016377966101694914,0.011082101694915249,0.0003246095254779667,N
100.0,0.002567823050229378,0.0019212822474903952,0.013466335714008754,0.0001331207106299434,6.529916168607889e-05,0.01128211864406779,0.020047423728813556,0.017286830508474575,0.01128211864406779,4.92522190279664e-05,N
105.0,0.0025714807070598873,0.002155899980778247,0.0142913237463791,0.0001280792467002824,8.223898287141931e-05,0.011226423728813554,0.020651949152542367,0.020377610169491522,0.011226423728813554,0.0003582411775330523,N
110.0,0.0025422066341918084,0.0021518220607655352,0.020134951347772604,0.0001274810899624293,8.936380747721234e-05,0.011221355932203386,0.01976115254237288,0.021581101694915256,0.011221355932203386,0.0008445583671426561,N
115.0,0.0009881032188652542,0.0014803577400875696,0.010850306783835032,7.854561898870053e-05,7.940278105226687e-05,0.005021677966101692,0.01560635593220339,0.022299966101694917,0.005021677966101692,0.0013056096412906784,N
120.0,0.000744292642679096,0.0016409637310734453,0.010566983891242374,7.802836166666663e-05,5.5420753713477706e-05,0.004765288135593216,0.01674966101694915,0.023447389830508477,0.004765288135593216,0.0010316033848652545,N
125.0,0.000621107268009887,0.0019407324714528237,0.009919814472170625,7.176322718587566e-05,6.47453051066341e-05,0.004308101694915251,0.018618372881355934,0.02595525423728814,0.004308101694915251,0.000938607354111865,N
130.0,0.0004558151224200567,0.0019466422464943498,0.008796480856019211,6.880341835819208e-05,5.2779075557352534e-05,0.004823949152542375,0.01660757627118644,0.027051677966101695,0.004823949152542375,0.0004413183598172318,N
135.0,0.0015603672655310737,0.004561309375649434,0.014789897518147743,0.00010713428606751418,8.602601994899296e-05,0.010167661016949155,0.023674372881355925,0.030753694915254235,0.010167661016949155,0.00047194672642372824,N
140.0,0.001620445517626554,0.004604632156760452,0.011866006278721754,0.00010140045226384183,7.507047891158618e-05,0.010233016949152548,0.022469355932203384,0.03139728813559322,0.010233016949152548,0.0004161796224632765,N
145.0,0.0016689112142573449,0.004591335859877682,0.016583534584819776,0.00010209940470225993,9.367272687019977e-05,0.010725067796610172,0.0217257966101695,0.031689474576271186,0.010725067796610172,2.476187798870072e-05,N
150.0,0.001755191770128249,0.004414073140284179,0.021306078496353676,9.17053843658192e-05,9.655391094250284e-05,0.011415220338983057,0.01964854237288137,0.032327966101694916,0.011415220338983057,0.00039869208972457605,N
155.0,0.0017298377182005656,0.004311245980715819,0.021712068628901415,0.00010085967804237294,0.00010188761960309863,0.011593474576271195,0.018186661016949154,0.035502525423728816,0.011593474576271195,0.000676819606169774,N
160.0,0.001811046135391525,0.005054999240901413,0.02130879084540537,0.00011794822839265534,9.28163910114974e-05,0.00913089830508475,0.0184761186440678,0.03436500000000001,0.00913089830508475,0.0006447006640652544,N
165.0,0.000583470274062712,0.0029248960930053696,0.018432658667997173,8.800296447768352e-05,4.482534214849993e-05,0.004706186440677971,0.01312508474576272,0.02956003389830509,0.004706186440677971,0.001255331748072034,N
170.0,0.0006596993689446328,0.003831400370086724,0.017471052646120623,9.838865963107338e-05,5.329671105090168e-05,0.005366406779661024,0.013965152542372888,0.026725067796610165,0.005366406779661024,0.0008621701184279653,N
175.0,0.0006542161019420904,0.004585350716398587,0.01622312768876808,9.358308793333325e-05,5.3083116072531984e-05,0.006028152542372889,0.015796169491525416,0.02619850847457627,0.006028152542372889,0.0007165282412271189,N
